Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
Albania,Tirana,124,125,165,191,263,298,354,327,264,218,127,88,2544,
Armenia,Yerevan,93,108,162,177,242,297,343,332,278,212,138,92,2474,
Austria,Vienna,66,106,128,183,239,228,260,251,168,139,66,51,1884,
Belarus,Minsk,34,72,133,185,270,267,271,251,154,103,39,28,1807,
Belgium,Brussels,59,77,114,159,191,188,201,190,143,113,66,45,1546,
Bosnia and Herzegovina,Sarajevo,57,84,126,152,192,207,256,238,187,149,81,41,1769,
Bulgaria,Sofia,88,114,160,182,230,258,302,288,220,164,106,66,2177,
Croatia,Zagreb,59,96,140,175,234,244,281,256,187,131,66,45,1913,
Croatia,Split,133,153,186,210,273,306,347,320,246,192,135,130,2631,
Czech Republic,Prague,50,72,125,168,214,218,226,212,161,121,54,47,1668,
Cyprus,Nicosia,182.9,200.1,238.7,267,331.7,369,387.5,365.8,312,275.9,213,170.5,3314.1,
Denmark,Aarhus,54,72,148,213,260,251,242,211,161,101,60,49,1821,
Denmark,Copenhagen,56,83,152,226,271,260,246,231,175,107,60,45,1912,
Denmark,Rønne,43,76,152,247,311,315,282,252,192,104,53,37,2063,
Estonia,Tallinn,30,59,148,217,306,294,312,256,162,88,29,20,1923,
Estonia,Vilsandi,37,69,150,226,316,314,330,271,176,100,38,24,2066,
Faroe Islands,Tórshavn,14,36,71,106,124,125,111,98,80,49,20,6,840,
Finland,Helsinki,38,70,138,194,284,297,291,238,150,93,36,29,1858,
France,Lyon,74,101,170,191,221,254,283,253,195,130,76,54,2002,
France,Marseille,150,156,215,245,293,326,366,327,254,205,156,143,2836,
France,Paris,63,79,129,166,194,202,212,212,168,118,68,51,1662,
Georgia,Tbilisi,99,102,142,171,213,249,256,248,206,164,103,93,2046,
Germany,Berlin,47,74,121,159,220,222,217,211,156,112,51,37,1626,
Germany,Frankfurt,50,80,121,178,211,219,233,219,156,103,51,41,1662,
Greece,Athens,130,134,183,231,291,336,363,341,276,208,153,127,2773,
Hungary,Budapest,62,93,137,177,234,250,271,255,187,141,69,52,1988,
Iceland,Reykjavik,20,60,109,164,201,174,168,155,120,93,41,22,1326,
Ireland,Dublin,59,75,109,160,195,179,164,157,129,103,71,53,1453,
Italy,Cagliari,150,163,209,218,270,311,342,321,243,209,150,127,2726,
Italy,Milan,59,96,152,177,211,243,285,251,186,130,66,59,1915,
Italy,Naples,115,128,158,189,245,279,313,295,234,189,126,105,2375,
Italy,Rome,121,133,167,201,264,285,332,298,237,195,129,112,2473,
Latvia,Riga,31,62,127,183,264,288,264,229,153,93,39,22,1754,
Lithuania,Vilnius,32,57,121,179,252,246,260,237,154,95,35,23,1691,
Luxembourg,Luxembourg City,43,82,118,165,208,210,232.5,208,159,108.5,57,43,1634,
Malta,Valletta,169,178,227,254,310,337,377,352,270,224,195,161,3054,
Moldova,Chișinău,75,80,125,187,254,283,299,295,226,169,75,58,2126,
Monaco,Monaco,149.8,158.9,185.5,210,248.1,281.1,329.3,296.7,224.7,199,155.2,136.5,2575,
Montenegro,Podgorica,123,126,170,194,251,276,340,314,252,201,126,109,2481,
Netherlands,Amsterdam,63,88,126,183,222,206,217,197,139,109,62,51,1662,
North Macedonia,Skopje,87,113,161,198,245,276,323,305,248,188,115,80,2339,
Norway,Bergen,19,56,94,147,186,189,167,144,86,60,27,12,1187,
Norway,Oslo,40,76,126,178,220,250,246,216,144,86,51,35,1668,
Norway,Tromsø,3,32,112,160,218,221,205,167,92,49,6,0,1265,
Poland,Warsaw,43,59,115,150,211,237,226,214,153,99,39,25,1571,
Portugal,Faro,172,165,234,251,314,332,368,352,273,226,182,167,3036,
Portugal,Lisbon,143,157,208,234,291,303,353,344,261,214,156,143,2806,
Portugal,Porto,124,129,192,217,258,274,308,295,224,184,139,124,2468,
Romania,Bucharest,71,85,140,186,245,267,288,282,225,177,87,62,2115,
Russia,Moscow,37,65,142,213,274,299,323,242,171,88,33,14,1901,
Russia,Sochi,96,107,146,162,220,258,279,282,225,195,120,87,2178,
Serbia,Belgrade,72,102,153,188,242,261,291,274,204,163,97,65,2112,
Serbia,Niš,65,93,148,171,221,251,287,274,202,151,86,49,1998,
Slovakia,Bratislava,65,82,152,204,264,270,276,270,207,143,60,47,2038,
Slovenia,Ljubljana,71,114,149,178,235,246,293,264,183,120,66,56,1974,
Spain,Barcelona,158,171,206,239,258,287,293,264,229,196,153,137,2591,
Spain,Cádiz,184,197,228,255,307,331,354,335,252,228,187,166,3024,
Spain,Madrid,148,157,214,231,272,310,359,335,261,198,157,124,2769,
Spain,Seville,183,189,224,238,293,317,354,328,244,217,181,154,2921,
Spain,Valencia,171,171,215,234,259,276,315,288,235,202,167,155,2696,
Sweden,Gothenburg,44,69,167,211,239,256,234,196,168,99,47,32,1762,
Sweden,Stockholm,40,72,139,185,254,292,260,221,154,99,54,33,1803,
Switzerland,Zurich,48,77,125,159,186,204,230,208,151,93,50,35,1566,
Turkey,Istanbul,71,88,133,180,251,300,322,295,243,164,102,68,2218,
Ukraine,Kyiv,31,57,124,180,279,270,310,248,210,155,60,31,1955,
United Kingdom,Edinburgh,54,79,115,145,188,166,172,162,129,101,71,46,1427,
United Kingdom,London,62,78,115,169,199,204,212,205,149,117,73,52,1633,
