date,state,us_state_or_territory,positive,probablecases,negative,pending,totaltestresultssource,totaltestresults,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,lastupdateet,datemodified,checktimeet,death,hospitalized,hospitalizeddischarged,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,totaltestencountersviral,totaltestspeopleviral,totaltestsantibody,positivetestsantibody,negativetestsantibody,totaltestspeopleantibody,positivetestspeopleantibody,negativetestspeopleantibody,totaltestspeopleantigen,positivetestspeopleantigen,totaltestsantigen,positivetestsantigen,fips,positiveincrease,negativeincrease,total,totaltestresultsincrease,posneg,dataqualitygrade,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
2021-02-02,AK,Alaska,52775,,,,totalTestsViral,1511785,49,1209,,,10,,,2021-02-02T03:59:00,2021-02-02T03:59:00Z,02/01 22:59,279,1209,,2021-02-02T03:59:00Z,1511785,63485,1446577,,,,,,,,,,,,,,,,2,107,0,52775,4123,52775,,17,4,4635db34a5e1a4bc2fc4fb076933d38bd911d75b,0,0,0,0,0,
2021-02-02,AL,Alabama,462938,98540,1769438,,totalTestsPeopleViral,2133836,1868,42328,,2555,,1456,242143,2021-02-02T11:00:00,2021-02-02T11:00:00Z,02/02 06:00,7894,42328,,2021-02-02T11:00:00Z,,,,364398,6314,1580,,2133836,,,,138639,,,,,,,1,2078,-11759,2232376,-10589,2232376,,206,469,88f478c412afc13d3e7f05fe8e6ecae1e02308c6,0,0,0,0,0,
2021-02-02,AR,Arkansas,298004,60671,2208897,,totalTestsViral,2446230,869,13730,260,,141,1433,276704,2021-02-02T00:00:00,2021-02-02T00:00:00Z,02/01 19:00,4939,13730,,2021-02-02T00:00:00Z,2446230,,2208897,237333,3971,968,,,,,,,,,371564,71087,,,5,1510,6936,2506901,7729,2506901,,44,79,f3f9ec4f255ac6c69f75a5cf8fd6db70611c6671,0,0,0,0,0,
2021-02-02,AS,American Samoa,0,,2140,,totalTestsViral,2140,,,,,,,,2020-12-01T00:00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140,,,0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,79ead8437b30973120b4d656faa7b50eeaca62fe,0,0,0,0,0,
2021-02-02,AZ,Arizona,765083,48574,2760412,,totalTestsViral,6754669,3513,53149,944,,671,,,2021-02-02T00:00:00,2021-02-02T00:00:00Z,02/01 19:00,13362,53149,104681,2021-02-02T00:00:00Z,6754669,,,716509,11912,1450,,3476921,,,,418964,,,,,,,4,2938,6876,3525495,28419,3525495,,238,163,6a4238753efebc5ce06525a03ba39fa00924d89c,0,0,0,0,0,
2021-02-02,CA,California,3270770,,,,totalTestsViral,42851891,14999,,3894,,,,,2021-02-02T02:59:00,2021-02-02T02:59:00Z,02/01 21:59,41330,,,2021-02-02T02:59:00Z,42851891,,,3270770,,,,,,,,,,,,,,,6,12064,0,3270770,282698,3270770,,422,0,8d140ec52ebfa15fae6f23199ee7139e1ddde5bb,0,0,0,0,0,
2021-02-02,CO,Colorado,397998,19878,2031907,,totalTestEncountersViral,5482105,599,21996,,,,,,2021-02-02T01:59:00,2021-02-02T01:59:00Z,02/01 20:59,5650,21996,21127,2021-02-02T01:59:00Z,,,,378120,4942,708,5482105,2410027,351423,45740,304125,,,,,,,,8,935,3429,2429905,14235,2429905,,9,152,685a6f88678c09373774314824b4af8439ba5536,0,0,0,0,0,
2021-02-02,CT,Connecticut,256522,15584,,,totalTestsViral,5588593,900,12257,,,,,,2021-02-01T20:30:00,2021-02-01T20:30:00Z,02/01 15:30,7133,12257,,2021-02-01T20:30:00Z,5588593,292660,5288674,240938,5822,1311,,,,,,,,,,,264276,16028,9,2568,0,256522,51862,256522,,14,0,1b3b149c14e79bfd580c90674d3095f5471c6126,0,0,0,0,0,
2021-02-02,DC,"Washington, D.C.",37138,,,,totalTestEncountersViral,1110294,232,,62,,34,,26086,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,921,,,2021-02-01T00:00:00Z,,,,,,,1110294,413134,,,,,,,,,,,11,130,0,37138,4224,37138,,5,0,5a6e04e3b70961cfddc097569f66ae35291048d6,0,0,0,0,0,
2021-02-02,DE,Delaware,78696,3869,509757,,totalTestEncountersViral,1243589,326,,42,,,,,2021-02-01T18:00:00,2021-02-01T18:00:00Z,02/01 13:00,1108,,,2021-02-01T18:00:00Z,,82026,,74827,997,111,1243589,588453,,,,,,,,,,,10,201,437,588453,6669,588453,,7,0,3a3934e4a90cc59384c0783aa8d21295971f3491,0,0,0,0,0,
